squadra,forma_avanzata_totale,forza_attacco_corner_casa,forza_attacco_corner_trasferta,forza_attacco_falli_casa,forza_attacco_falli_trasferta,forza_attacco_gialli_casa,forza_attacco_gialli_trasferta,forza_attacco_gol_1T_casa,forza_attacco_gol_1T_trasferta,forza_attacco_gol_casa,forza_attacco_gol_trasferta,forza_attacco_rossi_casa,forza_attacco_rossi_trasferta,forza_attacco_tiri_casa,forza_attacco_tiri_porta_casa,forza_attacco_tiri_porta_trasferta,forza_attacco_tiri_trasferta,forza_difesa_corner_casa,forza_difesa_corner_trasferta,forza_difesa_falli_casa,forza_difesa_falli_trasferta,forza_difesa_gialli_casa,forza_difesa_gialli_trasferta,forza_difesa_gol_1T_casa,forza_difesa_gol_1T_trasferta,forza_difesa_gol_casa,forza_difesa_gol_trasferta,forza_difesa_rossi_casa,forza_difesa_rossi_trasferta,forza_difesa_tiri_casa,forza_difesa_tiri_porta_casa,forza_difesa_tiri_porta_trasferta,forza_difesa_tiri_trasferta,media_corner_fatti_casa,media_corner_fatti_trasferta,media_corner_subiti_casa,media_corner_subiti_trasferta,media_falli_fatti_casa,media_falli_fatti_trasferta,media_falli_subiti_casa,media_falli_subiti_trasferta,media_gialli_fatti_casa,media_gialli_fatti_trasferta,media_gialli_subiti_casa,media_gialli_subiti_trasferta,media_gol_1T_fatti_casa,media_gol_1T_fatti_trasferta,media_gol_1T_subiti_casa,media_gol_1T_subiti_trasferta,media_gol_fatti_casa,media_gol_fatti_trasferta,media_gol_subiti_casa,media_gol_subiti_trasferta,media_rossi_fatti_casa,media_rossi_fatti_trasferta,media_rossi_subiti_casa,media_rossi_subiti_trasferta,media_tiri_fatti_casa,media_tiri_fatti_trasferta,media_tiri_porta_fatti_casa,media_tiri_porta_fatti_trasferta,media_tiri_porta_subiti_casa,media_tiri_porta_subiti_trasferta,media_tiri_subiti_casa,media_tiri_subiti_trasferta
Southampton,0.062,0.547,1.01,1.041,1.145,1.021,1.242,0.566,0.34,0.413,0.472,2.308,0.0,0.589,0.584,0.654,0.778,1.516,0.984,0.968,1.11,0.74,0.634,1.617,1.628,1.706,1.239,0.0,0.769,1.556,1.707,1.179,1.163,3.16,4.84,7.26,5.68,11.21,12.95,10.95,11.95,1.95,2.74,1.63,1.21,0.42,0.21,1.0,1.21,0.68,0.68,2.47,2.05,0.16,0.0,0.0,0.05,8.58,9.47,3.0,2.84,7.42,6.05,18.95,16.95
Man City,0.417,1.212,1.318,0.709,0.661,0.91,0.573,1.982,1.106,1.366,1.053,0.769,0.702,1.148,1.158,1.259,1.249,0.582,0.647,0.963,0.88,1.075,1.131,1.277,0.496,0.835,0.667,1.404,0.0,0.661,0.678,0.779,0.729,7.0,6.32,2.79,3.74,7.63,7.47,10.89,9.47,1.74,1.26,2.37,2.16,1.47,0.68,0.79,0.37,2.26,1.53,1.21,1.11,0.05,0.05,0.11,0.0,16.74,15.21,5.95,5.47,2.95,4.0,8.05,10.63
Arsenal,0.273,1.285,1.208,0.909,0.996,0.855,0.788,1.204,1.362,1.112,1.234,1.538,2.807,1.105,1.076,1.005,1.042,0.582,0.592,0.893,1.046,1.027,1.048,0.34,0.708,0.617,0.54,0.0,1.538,0.683,0.581,0.738,0.737,7.42,5.79,2.79,3.42,9.79,11.26,10.11,11.26,1.63,1.74,2.26,2.0,0.89,0.84,0.21,0.53,1.84,1.79,0.89,0.89,0.11,0.21,0.0,0.11,16.11,12.68,5.53,4.37,2.53,3.79,8.32,10.74
Aston Villa,0.28,1.294,0.988,0.953,0.982,0.883,0.955,1.062,0.681,1.08,0.871,0.0,2.807,1.058,1.086,0.775,0.826,0.703,0.984,1.145,1.286,1.409,1.159,0.766,0.779,0.726,0.985,0.702,0.769,0.839,0.762,0.994,0.971,7.47,4.74,3.37,5.68,10.26,11.11,12.95,13.84,1.68,2.11,3.11,2.21,0.79,0.42,0.47,0.58,1.79,1.26,1.05,1.63,0.0,0.21,0.05,0.05,15.42,10.05,5.58,3.37,3.32,5.11,10.21,14.16
West Ham,0.089,0.802,0.725,1.105,1.01,1.186,0.836,0.779,0.511,0.731,0.835,0.769,1.404,0.805,0.728,0.908,1.094,1.021,1.057,1.0,0.953,0.716,0.717,1.532,0.779,1.234,0.89,0.0,0.769,1.18,1.15,0.943,1.119,4.63,3.47,4.89,6.11,11.89,11.42,11.32,10.26,2.26,1.84,1.58,1.37,0.58,0.32,0.95,0.58,1.21,1.21,1.79,1.47,0.05,0.11,0.0,0.05,11.74,13.32,3.74,3.95,5.0,4.84,14.37,16.32
Liverpool,0.139,1.13,1.417,1.071,0.982,0.855,0.788,1.416,1.702,1.334,1.597,1.538,0.702,1.134,1.148,1.44,1.444,0.868,0.565,0.912,0.855,1.027,1.021,0.511,0.991,0.581,0.794,0.702,0.769,0.783,0.726,0.83,0.744,6.53,6.79,4.16,3.26,11.53,11.11,10.32,9.21,1.63,1.74,2.26,1.95,1.05,1.05,0.32,0.74,2.21,2.32,0.84,1.32,0.11,0.05,0.05,0.05,16.53,17.58,5.89,6.26,3.16,4.26,9.53,10.84
Brentford,0.214,0.893,0.846,0.694,0.824,0.855,0.74,1.558,1.106,1.271,0.944,0.0,0.702,0.888,1.076,0.956,0.843,1.142,1.285,0.879,0.86,1.027,0.966,1.191,0.779,1.27,0.699,1.404,0.769,1.301,1.113,1.199,1.249,5.16,4.05,5.47,7.42,7.47,9.32,9.95,9.26,1.63,1.63,2.26,1.84,1.16,0.68,0.74,0.58,2.11,1.37,1.84,1.16,0.0,0.05,0.11,0.05,12.95,10.26,5.53,4.16,4.84,6.16,15.84,18.21
Fulham,0.123,0.92,1.142,0.997,1.061,0.91,1.122,1.062,0.596,0.858,0.98,0.769,0.702,0.946,0.953,0.968,1.12,0.923,0.811,0.94,0.826,0.74,0.938,0.851,0.991,1.089,0.763,0.702,1.538,0.908,0.98,0.83,0.802,5.32,5.47,4.42,4.68,10.74,12.0,10.63,8.89,1.74,2.47,1.63,1.79,0.79,0.37,0.53,0.74,1.42,1.42,1.58,1.26,0.05,0.05,0.05,0.11,13.79,13.63,4.89,4.21,4.26,4.26,11.05,11.68
Everton,0.33,0.738,0.824,1.031,1.019,1.103,0.955,1.062,0.851,0.826,0.581,1.538,0.0,0.765,0.799,0.799,0.834,1.131,1.157,0.903,0.934,0.478,0.662,0.511,0.708,0.835,0.667,1.404,0.0,0.908,0.968,0.922,0.975,4.26,3.95,5.42,6.68,11.11,11.53,10.21,10.05,2.11,2.11,1.05,1.26,0.79,0.53,0.32,0.53,1.37,0.84,1.21,1.11,0.11,0.0,0.11,0.0,11.16,10.16,4.11,3.47,4.21,4.74,11.05,14.21
Crystal Palace,0.254,0.793,0.934,0.997,0.991,1.021,0.907,0.566,0.936,0.763,0.98,3.077,0.0,0.982,0.943,1.138,1.055,1.274,0.902,1.061,0.929,1.051,0.883,1.021,0.85,0.944,0.794,1.404,1.538,0.994,0.956,0.779,0.917,4.58,4.47,6.11,5.21,10.74,11.21,12.0,10.0,1.95,2.0,2.32,1.68,0.42,0.58,0.63,0.63,1.26,1.42,1.37,1.32,0.21,0.0,0.11,0.11,14.32,12.84,4.84,4.95,4.16,4.0,12.11,13.37
Wolves,0.09,0.674,0.824,1.134,1.154,0.938,0.955,0.92,1.106,0.858,0.98,1.538,0.0,0.78,0.84,0.944,0.93,1.175,1.012,0.986,1.124,1.003,1.103,1.191,1.416,1.162,1.176,1.404,0.769,0.964,1.029,0.912,0.903,3.89,3.95,5.63,5.84,12.21,13.05,11.16,12.11,1.79,2.11,2.21,2.11,0.68,0.68,0.74,1.05,1.42,1.42,1.68,1.95,0.11,0.0,0.11,0.05,11.37,11.32,4.32,4.11,4.47,4.68,11.74,13.16
Tottenham,0.017,1.239,1.175,1.051,1.075,0.855,0.931,1.133,1.447,1.112,1.053,0.0,0.702,0.971,1.025,1.029,0.986,1.164,0.911,1.149,1.207,0.955,1.214,1.447,1.133,1.27,0.953,1.404,0.769,1.094,1.198,0.892,0.971,7.16,5.63,5.58,5.26,11.32,12.16,13.0,13.0,1.63,2.05,2.11,2.32,0.84,0.89,0.89,0.84,1.84,1.53,1.84,1.58,0.0,0.05,0.11,0.05,14.16,12.0,5.26,4.47,5.21,4.58,13.32,14.16
Bournemouth,0.212,1.094,1.197,1.305,1.149,1.186,1.29,0.708,0.936,0.731,1.27,1.538,0.702,1.116,1.066,1.186,1.172,1.043,0.811,0.945,1.012,1.122,1.103,0.511,1.062,0.581,0.953,2.105,1.538,0.977,0.835,1.076,0.942,6.32,5.74,5.0,4.68,14.05,13.0,10.68,10.89,2.26,2.84,2.47,2.11,0.53,0.58,0.32,0.79,1.21,1.84,0.84,1.58,0.11,0.05,0.16,0.11,16.26,14.26,5.47,5.16,3.63,5.53,11.89,13.74
Man United,0.209,0.966,1.032,1.022,0.949,1.131,1.003,0.637,0.511,0.731,0.762,1.538,0.702,1.015,0.922,1.017,1.064,0.78,1.003,0.982,0.851,0.979,0.828,1.106,0.779,1.016,0.826,0.702,1.538,0.86,0.859,0.83,0.78,5.58,4.95,3.74,5.79,11.0,10.74,11.11,9.16,2.16,2.21,2.16,1.58,0.47,0.32,0.68,0.58,1.21,1.11,1.47,1.37,0.11,0.05,0.05,0.11,14.79,12.95,4.74,4.42,3.74,4.26,10.47,11.37
Chelsea,0.462,1.121,1.241,1.051,1.028,1.324,1.194,1.204,1.021,1.112,1.053,0.769,0.702,1.22,1.302,1.101,1.111,0.725,0.684,1.005,1.178,1.003,1.49,0.681,0.92,0.653,0.794,0.702,0.769,0.821,0.871,0.871,0.751,6.47,5.95,3.47,3.95,11.32,11.63,11.37,12.68,2.53,2.63,2.21,2.84,0.89,0.63,0.42,0.68,1.84,1.53,0.95,1.32,0.05,0.05,0.05,0.05,17.79,13.53,6.68,4.79,3.79,4.47,10.0,10.95
Newcastle,0.21,1.075,1.098,1.027,0.856,1.076,0.693,1.487,1.362,1.271,1.016,0.769,0.0,1.069,1.004,0.92,0.986,1.12,0.911,1.131,1.075,1.361,1.048,0.596,1.133,0.726,0.858,2.105,0.0,1.029,0.992,0.861,0.848,6.21,5.26,5.37,5.26,11.05,9.68,12.79,11.58,2.05,1.53,3.0,2.0,1.11,0.84,0.37,0.84,2.11,1.47,1.05,1.42,0.05,0.0,0.16,0.0,15.58,12.0,5.16,4.0,4.32,4.42,12.53,12.37
Leicester,0.078,0.729,0.67,1.017,0.986,1.159,1.075,0.425,0.511,0.477,0.653,0.0,0.0,0.635,0.564,0.678,0.687,1.186,1.121,0.931,0.992,0.621,0.8,1.447,1.628,1.234,1.461,0.0,1.538,1.314,1.186,1.209,1.217,4.21,3.21,5.68,6.47,10.95,11.16,10.53,10.68,2.21,2.37,1.37,1.53,0.32,0.32,0.89,1.21,0.79,0.95,1.79,2.42,0.0,0.0,0.0,0.11,9.26,8.37,2.89,2.95,5.16,6.21,16.0,17.74
Brighton,0.386,0.829,1.076,1.08,1.01,0.938,0.907,0.92,1.191,0.953,1.307,0.0,2.105,1.047,0.994,1.138,1.051,0.912,0.92,1.061,0.973,1.17,0.993,1.021,1.133,0.944,1.048,0.702,3.077,0.886,0.835,0.82,0.802,4.79,5.16,4.37,5.32,11.63,11.42,12.0,10.47,1.79,2.0,2.58,1.89,0.68,0.74,0.63,0.84,1.58,1.89,1.37,1.74,0.0,0.16,0.05,0.21,15.26,12.79,5.11,4.95,3.63,4.21,10.79,11.68
Ipswich,0.029,0.711,0.736,0.948,1.098,0.938,1.194,0.566,1.191,0.445,0.799,1.538,2.105,0.751,0.697,0.714,0.726,1.23,1.276,1.028,0.943,0.764,0.855,1.872,1.274,1.597,1.207,0.0,1.538,1.189,1.283,1.127,1.199,4.11,3.53,5.89,7.37,10.21,12.42,11.63,10.16,1.79,2.63,1.68,1.63,0.42,0.74,1.16,0.95,0.74,1.16,2.32,2.0,0.11,0.16,0.0,0.11,10.95,8.84,3.58,3.11,5.58,5.79,14.47,17.47
Nott'm Forest,0.12,0.738,0.868,0.899,0.963,0.828,1.313,0.991,1.277,0.826,1.162,0.0,1.404,0.845,0.861,0.992,0.99,1.252,1.157,1.056,1.007,1.194,1.379,0.255,1.062,0.581,0.953,1.404,0.0,1.038,0.908,1.035,1.051,4.26,4.16,6.0,6.68,9.68,10.89,11.95,10.84,1.58,2.89,2.63,2.63,0.74,0.79,0.16,0.79,1.37,1.68,0.84,1.58,0.0,0.11,0.11,0.0,12.32,12.05,4.42,4.32,3.95,5.32,12.63,15.32
